"Local", "Esgotamento sanitário adequado"
"Livramento de Nossa Senhora", 30.2
"Luís Eduardo Magalhães", 18.1
"Macajuba", 40.6
"Macaúbas", 24.7
"Macururé", 1
"Madre de Deus", 92
"Mairi", 52.3
"Mansidão", 2.7
"Maracás", 9.4
"Maragogipe", 38.2
"Marcionílio Souza", 14.3
"Mata de São João", 42.8
"Matina", 3.5
"Miguel Calmon", 40.9
"Milagres", 5.2
"Mirangaba", 18.1
"Monte Santo", 11.3
"Morpará", 4
"Morro do Chapéu", 9.3
"Mucugê", 36.8
"Mulungu do Morro", 0.4
"Mundo Novo", 37
"Muniz Ferreira", 26.5
"Muquém do São Francisco", 16.8
"Muritiba", 14.6
"Mutuípe", 46.6
"Nazaré", 52.2
"Nilo Peçanha", 31.5
"Nordestina", 4
"Nova Fátima", 63.6
"Nova Ibiá", 35.6
"Nova Itarana", 6.7
"Nova Redenção", 10.1
"Nova Soure", 1.2
"Novo Horizonte", 11.2
"Novo Triunfo", 54.6
"Olindina", 47.3
"Oliveira dos Brejinhos", 13
"Ouriçangas", 15.5
"Ourolândia", 19.1
"Palmeiras", 28.1
"Paramirim", 39
"Paratinga", 3
"Paripiranga", 25
"Paulo Afonso", 82.1
"Pé de Serra", 2.7
"Pedrão", 2.5
"Pedro Alexandre", 2.2
"Piatã", 4.7
"Pilão Arcado", 1.8
"Pindobaçu", 41.5
"Pintadas", 53.9
"Piraí do Norte", 27.5
"Piritiba", 34.5
"Planaltino", 0.7
"Pojuca", 87.6
"Ponto Novo", 9.9
"Presidente Dutra", 6.7
"Presidente Tancredo Neves", 26.4
"Queimadas", 36
"Quijingue", 12.6
"Quixabeira", 4.1
"Rafael Jambeiro", 10.3
"Remanso", 49.4
"Retirolândia", 16.9
"Riachão das Neves", 9.1
"Riachão do Jacuípe", 64.4
"Riacho de Santana", 5.3
"Ribeira do Amparo", 1.1
"Ribeira do Pombal", 26.5
"Rio de Contas", 24
"Rio do Pires", 2.9
"Rio Real", 9.1
"Rodelas", 86.8
"Ruy Barbosa", 51.9
"Salinas da Margarida", 12.1
"Salvador", 92.8
"Santa Bárbara", 5.9
"Santa Brígida", 34
"Santa Inês", 66.5
"Santaluz", 54.4
"Santa Maria da Vitória", 12.7
"Santana", 13
"Santanópolis", 1.1
"Santa Rita de Cássia", 13.7
"Santa Terezinha", 4.6
"Santo Amaro", 59.1
"Santo Antônio de Jesus", 66.6
"Santo Estêvão", 12.8
"São Desidério", 8.4
"São Domingos", 63.7
"São Félix", 60.1
"São Félix do Coribe", 1.4
"São Felipe", 9.2
"São Francisco do Conde", 67.2
"São Gabriel", 8
"São Gonçalo dos Campos", 7.8
"São José do Jacuípe", 29.1
"São Miguel das Matas", 16.6
"São Sebastião do Passé", 66.6
"Sapeaçu", 4.4
"Sátiro Dias", 26.2
"Saubara", 28.3
"Saúde", 18.6
"Seabra", 3.9
"Senhor do Bonfim", 54.7
"Serra do Ramalho", 2.5
"Sento Sé", 32.1
"Serra Dourada", 4.9
"Serra Preta", 11.1
"Serrinha", 49.1
"Serrolândia", 4.5
"Simões Filho", 64.6
"Sítio do Mato", 13
"Sítio do Quinto", 16.6
"Sobradinho", 74
"Souto Soares", 4.7
"Tabocas do Brejo Velho", 6.3
"Tanque Novo", 1.9
"Tanquinho", 44.6
"Taperoá", 25.7
"Tapiramutá", 2.5
"Teodoro Sampaio", 22.8
"Teofilândia", 22.2
"Teolândia", 34.7
"Terra Nova", 63.8
"Tucano", 45.1
"Uauá", 2.7
"Ubaíra", 35.5
"Ubatã", 54.9
"Uibaí", 2.2
"Umburanas", 6.7
"Utinga", 2.2
"Valença", 59.5
"Valente", 45.9
"Várzea da Roça", 18.2
"Várzea do Poço", 20.3
"Várzea Nova", 34.2
"Varzedo", 28.1
"Vera Cruz", 24.6
"Wagner", 1.2
"Wanderley", 1.4
"Wenceslau Guimarães", 27.7
"Xique-Xique", 36.9
"Aracatu", 1.2
"Boa Nova", 34.9
"Brumado", 62.6
"Caetanos", 9.5
"Caetité", 34
"Carinhanha", 5.8
"Cocos", 3.1
"Feira da Mata", 2.5
"Gongogi", 62
"Guanambi", 52.1
"Ibiassucê", 2.3
"Ibirapitanga", 48.1
"Itacaré", 37.5
"Itagi", 55.7
"Itagibá", 65.4
"Iuiu", 12.5
"Jaborandi", 45.6
"Jequié", 77.9
"Malhada", 15
"Malhada de Pedras", 9.8
"Manoel Vitorino", 2.9
"Maraú", 18.5
"Mirante", 20.3
"Palmas de Monte Alto", 16.5
"Rio do Antônio", 16.4
"Tanhaçu", 11.4
"Ubaitaba", 65.8
