"Local", "Esgotamento sanitário adequado"
"Simplício Mendes", 24.7
"Socorro do Piauí", 2.5
"Sussuapara", 21
"Tamboril do Piauí", 53.3
"Tanque do Piauí", 80.7
"Teresina", 61.6
"União", 25.9
"Uruçuí", 16.7
"Valença do Piauí", 5.3
"Várzea Branca", 4
"Várzea Grande", 69
"Vera Mendes", 35.5
"Vila Nova do Piauí", 22.4
"Wall Ferraz", 0.3
